0	-0.479309
-0.30103	-0.708636
-0.60206	-0.970299
-0.90309	-1.25078
-1.20412	-1.54133
-1.50515	-1.83707
-1.80618	-2.13545
-2.10721	-2.43515
-2.40824	-2.73551
-2.70927	-3.03621
-3.0103	-3.33707
-3.31133	-3.63802
-3.61236	-3.93901
-3.91339	-4.24002
-4.21442	-4.54104
-4.51545	-4.84206
-4.81648	-5.14309
-5.11751	-5.44412
-5.41854	-5.74515
-5.71957	-6.04615
-6.0206	-6.3474
-6.32163	-6.64888
-6.62266	-6.94811
-6.92369	-7.24557
-7.22472	-7.58374
-7.52575	-7.82678
-7.82678	-7.82678
-8.12781	-7.82678
-8.42884	-7.52575
-8.72987	-7.22472
-9.0309	-6.92369
-9.33193	-6.62266
-9.63296	-6.32163
-9.93399	-6.0206
-10.235	-5.71957
-10.536	-5.41854
-10.8371	-5.11751
-11.1381	-4.81648
-11.4391	-4.51545
-11.7402	-4.21442
