10,150,0.000377,1.4e-05
15,371,0.001816,2.5e-05
20,670,0.005292,4.8e-05
25,1077,0.012616,7.7e-05
30,1562,0.025372,0.000121
35,2150,0.046217,0.00018
40,2824,0.078227,0.000245
45,3611,0.127984,0.000305
50,4450,0.182715,0.000384
55,5429,0.265118,0.000505
60,6556,0.381628,0.000656
65,7655,0.516268,0.000833
70,8916,0.696292,0.000998
75,10225,0.914963,0.001169
80,11588,1.16967,0.001405
85,13189,1.4949,0.001637
90,14735,1.85727,0.001879
95,16533,2.30872,0.002179
100,18287,2.81622,0.002488
