Wr = 0.01
0.0796813,-0.00183976,-0.00295764,-0.0038592
0.159363,-0.00381913,-0.00613278,-0.00799291
0.239044,-0.00593614,-0.00951455,-0.0123767
0.318725,-0.00818826,-0.0130906,-0.0169835
0.398406,-0.0105724,-0.016847,-0.0217836
0.478088,-0.013085,-0.0207685,-0.0267448
0.557769,-0.0157218,-0.0248384,-0.0318329
0.63745,-0.018478,-0.0290389,-0.0370118
0.717131,-0.0213486,-0.0333509,-0.0422439
0.796813,-0.0243277,-0.0377542,-0.0474903
0.876494,-0.0274091,-0.0422277,-0.0527109
0.956175,-0.0305863,-0.0467496,-0.0578654
1.03586,-0.033852,-0.0512973,-0.0629127
1.11554,-0.0371988,-0.0558476,-0.0678121
1.19522,-0.0406188,-0.0603768,-0.0725231
1.2749,-0.0441039,-0.064861,-0.0770058
1.35458,-0.0476455,-0.0692763,-0.0812217
1.43426,-0.0512348,-0.0735984,-0.0851334
1.51394,-0.0548629,-0.0778036,-0.0887053
1.59363,-0.0585204,-0.081868,-0.0919037
1.67331,-0.0621981,-0.0857686,-0.0946973
1.75299,-0.0658863,-0.0894826,-0.0970576
1.83267,-0.0695756,-0.0929881,-0.0989586
1.91235,-0.0732562,-0.0962639,-0.100377
1.99203,-0.0769186,-0.09929,-0.101295
2.07171,-0.080553,-0.102047,-0.101695
2.15139,-0.0841501,-0.104517,-0.101564
2.23108,-0.0877003,-0.106685,-0.100895
2.31076,-0.0911943,-0.108533,-0.0996826
2.39044,-0.0946232,-0.110049,-0.0979255
2.47012,-0.097978,-0.111221,-0.0956269
2.5498,-0.10125,-0.112039,-0.0927936
2.62948,-0.104431,-0.112493,-0.0894363
2.70916,-0.107513,-0.112576,-0.0855697
2.78884,-0.110489,-0.112284,-0.0812119
2.86853,-0.11335,-0.111612,-0.0763848
2.94821,-0.116091,-0.11056,-0.0711137
3.02789,-0.118704,-0.109127,-0.065427
3.10757,-0.121184,-0.107315,-0.0593562
3.18725,-0.123525,-0.105129,-0.0529357
