0,319.45,152.23,142.39,78.865,35.016,321,202.6,132.06,1.0435,5.1335,10.578,15.407,27.472,40.827,14.445,46.054,45.904,69.742,63.64,57.883,62.636,85.224,67.826,54.015,56.275,61.862,41.346,40.067,44.168,44.535,52.435,54.381,56.052,0.24669,2.6772,233.27,246.3,181.91,202.79,90.919,84.583,62.504,60.997,53.688,48.997,54.966,272.04,264.47,208.85,208.24,170.06,176.27,109.27,117.57,114.04,119.93,100.2,93.651,113.8,66.184,81.535,30.957,46.381,38.152,28.026,29.622,21.129,17.933,31.412,19.313,17.544,26.692,9.126,37.938,16.64,23.321,65.658,62.396,86.415,88.307,76.892,92.094,63.127,61.308,94.587,83.412,55.772,56.37,48.329,56.159,67.641,55.623,32.385,54.274,64.522,66.328,63.724,66.119,62.942,66.488,42.443,42.237,40.821,42.107,39.547,44.352,42.684,46.8,47.898,50.318,56.399,50.623,56.533,54.736,260.3,253.53,270.8,272.83,201.35,222.99,247.43,215.69,158.3,228.96,177.31,169.82,83.409,137.01,46.111,52.846,62.89,170.23,202.07,166.81,181.98,31.968,31.431,23.09,31.871,18.023,22.805,26.315,19.251,21.451,13.891,16.444,4.2191,13.169,51.98,47.925,48.446,47.658,55.012,42.677,52.912,75.628,64.092,32.205,57.789,53.569,58.626,63.206,41.526,41.689,43.075,43.937,46.872,52.379,57.879,67.012,58.551,71.039,229.42,222.4,208.47,220.54,48.689,61.78,62.957,68.353,64.838,47.261,45.586,63.331,46.575,64.852,46.989,49.313,46.076,46.03,46.42,46.616,46.668,46.022,46.309,46.254,66.145,65.131
319.45,0,42.547,36.191,101.41,152.89,0.0020571,32.635,40.929,324.63,243.63,222.51,205.51,176.05,134.43,212.74,132.87,132.57,102.97,111.96,122.11,110.96,76.65,100.35,112.86,120.23,106.88,131.35,134.23,126.64,131.58,123.96,121.74,120.39,302.55,263.65,6.8104,4.8137,19.886,32.097,73.281,79.868,112.28,105.46,114.27,153.45,144.03,16.794,3.2794,11.94,14.038,26.598,21.383,70.35,70.64,52.519,48.208,78.398,77.407,53.81,116.41,82.568,177.1,136.33,146.11,189.41,175.21,184.53,195.81,166.52,190.89,191.7,172.4,238.07,174.56,190.33,175.09,111.06,113.2,75.693,73.969,88.995,69.609,101.09,101.39,66.442,76.396,110.71,108.34,119.3,108.69,93.56,111.53,148.46,110.56,108.06,100.21,101.16,98.066,104.4,99.716,129.27,129.87,132.39,130.33,135.65,128.94,129.42,123.32,146.07,129.12,120,123.93,120.08,120.16,4.6789,17.71,6.8362,10.841,16.154,9.1134,5.7543,10.487,31.675,8.0631,20.792,28.886,95.302,43.502,157.37,115.19,104.77,27.745,15.582,30.156,21.113,152.53,150.84,182.84,162.73,203.61,191.36,182.84,198.06,190.55,208.88,202.86,265.93,232.99,124.99,139.86,128.98,131.16,110.55,129.13,122.3,90.881,101.16,149.24,109.46,116.25,108.61,104.06,130.9,130.64,128.38,127.03,126.77,114.29,119.17,118.39,116.45,97.389,7.9548,11.931,23.688,15.047,128.26,110.09,113.14,102.83,109.76,132.87,132.08,100.72,132.27,108.8,127.97,127.22,132.19,138.15,132.91,131.69,131.82,132.05,132.35,132.72,108.1,108.71
152.23,42.547,0,13.136,13.771,41.637,43.134,3.933,6.4417,161.83,103.37,97.64,89.418,52.684,35.932,75.503,31.072,31.129,43.236,19.679,23.719,19.885,11.386,16.836,36.493,49.867,39.493,41.615,44.321,39.89,49.238,49.996,49.566,49.813,140.23,115.74,20.003,20.405,6.755,3.9056,8.6931,10.357,47.061,36.197,25.691,36.423,31.578,17.28,22.202,11.788,23.021,2.6153,12.376,3.9314,3.5583,14.213,11.825,6.0709,7.0945,17.204,20.063,28.315,51.233,57.4,38.224,57.509,51.162,76.743,83.614,72.32,80.667,77.94,72.202,109.95,47.816,70.35,69.457,18.873,20.331,10.9,10.328,12.875,10.27,32.315,28.605,12.337,16.101,36.08,32.444,34.249,32.713,20.095,37.243,47.333,31.304,44.096,35.762,33.465,32.051,37.39,35.246,40.165,41.167,42.417,41.957,45.818,45.023,41.727,40.328,33.871,53.635,49.736,47.729,49.967,48.066,33.217,12.874,19.18,18.154,22.769,13.437,17.012,12.555,20.051,22.12,10.552,1.5064,11.614,22.599,38.618,38.396,19.509,1.9417,6.9469,1.2857,4.7779,56.335,51.228,57.977,45.984,91.726,86.395,82.519,88.075,83.738,90.098,88.489,110.44,85.245,26.667,31.829,29.136,29.889,34.015,40.901,48.541,33.738,34.053,50.611,37.528,41.333,37.504,37.255,41.004,40.963,40.378,40.059,46.171,35.543,50.335,20.491,47.854,37.513,14.548,9.4482,4.4681,7.5903,28.906,20.155,20.127,16.697,18.89,30.388,31.291,20.221,30.676,18.735,30.067,28.417,30.975,32.107,30.86,30.575,30.56,30.995,30.848,30.93,18.174,18.621
142.39,36.191,13.136,0,28.323,45.891,36.688,24.962,1.4742,144.62,93.486,79.42,69.264,59.352,34.228,78.785,36.436,36.106,17.765,29.228,34.313,27.899,10.639,21.919,21.341,24.915,18.766,30.283,31.452,27.954,29.758,26.426,25.48,24.971,131.41,106.07,11.641,15.351,4.6167,24.595,10.921,13.379,21.562,18.091,25.343,53.702,49.544,37.265,21.247,7.8976,6.3652,6.4251,1.971,17.494,21.352,1.5728,1.0547,19.905,16.015,1.7524,33.976,9.4943,62.118,32.35,42.392,69.623,59.967,57.324,63.681,47.582,60.886,61.566,50.616,88.662,63.84,62.084,52.218,29.538,29.581,10.462,9.9547,17.189,7.8709,16.345,16.835,5.6746,8.3728,20.375,19.605,25.018,19.738,15.185,20.687,39.464,20.914,19.646,16.009,16.341,15.112,17.694,15.8,29.379,29.526,30.732,29.65,32.033,28.584,29.182,26.129,47.662,28.914,24.812,26.251,24.869,24.697,17.669,31.409,27.766,32.306,5.3131,11.035,17.548,9.35,1.0147,10.304,2.4044,8.5708,25.645,1.3563,55.213,22.311,22.849,7.6585,9.4382,8.4359,6.225,40.295,40.025,61.829,51.728,68.127,61.2,56.511,64.931,60.667,71.302,67.705,110.11,92.787,33.457,42.962,34.674,35.988,20.476,29.161,25.615,12.576,16.338,39.16,19.775,22.717,19.411,17.556,30.147,30.003,28.833,28.137,27.492,22.126,24.569,35.897,23.216,15.133,12.469,14.263,19.706,16.624,34.228,26.721,29.82,24.281,28.081,37.14,35.506,19.406,36.257,27.317,32.944,33.745,35.898,40.634,36.69,35.808,35.947,35.751,36.166,36.434,27.419,27.388
78.865,101.41,13.771,28.323,0,8.9326,102.33,29.564,17.838,88.209,46.802,47.255,43.719,13.416,8.7465,26.197,4.7193,4.8383,30.507,0.9702,1.6248,1.2994,5.3152,1.7663,17.612,30.723,23.933,15.96,17.928,15.846,24.859,29.169,29.645,30.581,70.333,54.486,59.745,62.994,32.625,29.715,4.2605,3.1791,30.903,20.539,5.2431,5.4418,3.7336,60.685,68.544,45.036,56.747,24.15,37.439,2.9904,3.9334,20.092,19.668,1.5567,1.8279,22.993,0.60394,21.723,12.125,32.873,7.5826,15.139,12.338,36.522,40.432,38.401,38.78,35.241,35.827,56.285,10.266,27.089,31.471,0.67847,1.1297,5.2498,5.4225,2.104,7.2194,17.83,13.34,10.808,10.275,18.053,14.799,12.37,14.964,7.2084,19.085,15.989,12.564,29.146,22.433,19.184,18.894,22.484,22.027,15.124,16.029,16.465,16.75,19.097,20.907,16.849,17.702,4.4774,31.394,30.663,26.362,30.92,28.488,79.591,52.367,65.319,63.432,54.691,50.084,59.184,47.467,39.954,60.988,35.769,22.253,0.095243,35.814,6.2806,18.864,2.6415,23.121,37.513,21.138,30.116,24.725,19.462,16.619,10.466,47.245,45.577,44.261,44.962,42.633,43.274,43.606,48.275,31.127,3.0604,3.9443,4.0719,4.1634,15.688,16.015,28.105,24.387,19.896,19.359,20.345,21.937,20.699,22.474,15.44,15.496,15.715,15.886,23.211,15.884,31.81,0.67013,29.941,25.96,52.742,44.801,33.644,41.566,4.0596,1.6918,1.02,1.0187,0.91439,4.1715,5.0995,4.622,4.5377,1.0111,5.1278,3.9146,4.803,4.3955,4.5354,4.5945,4.5499,4.8542,4.659,4.6386,0.80989,0.95856
35.016,152.89,41.637,45.891,8.9326,0,154,69.241,36.231,41.004,14.85,16.109,15.066,0.8644,1.1673,5.0667,0.772,0.768,22.961,4.2462,2.9486,4.0032,13.13,5.7029,10.139,18.849,16.419,5.325,6.1084,6.0928,11.624,16.694,17.591,18.691,29.39,19.31,96.79,103.48,62.505,69.374,14.517,11.83,20.912,14.083,3.0284,3.3359,4.1493,112.53,113.46,79.397,85.955,53.513,63.19,20.601,24.298,31.269,33.042,16.749,14.372,32.898,5.2256,21.392,1.5023,17.135,0.077305,2.7306,1.0223,12.072,13.659,16.135,12.992,10.343,13.174,21.494,2.9593,5.2795,9.5455,4.7995,3.9283,13.496,14.225,8.7603,16.466,13.125,9.8882,19.299,15.261,10.949,9.1993,5.3171,9.2312,8.3963,11.523,2.8061,7.2415,20.462,16.921,14.128,14.714,15.878,16.725,5.1593,5.6274,5.4673,6.0133,6.6502,9.1658,6.2425,7.9827,1.9974,17.42,18.85,14.404,19.051,16.986,118.25,100.81,114.2,114.09,82.276,87.497,101.78,83.304,58.33,95.928,62.6,52.457,10.402,48.494,2.9181,10.528,4.5537,53.051,72.717,50.744,61.16,7.8378,4.5467,1.3732,0.17822,17.974,18.217,18.369,16.857,15.984,14.407,15.261,16.466,8.4154,1.6751,1.391,1.1135,0.97701,9.3033,5.7495,16.184,21.091,14.673,4.7006,12.958,12.609,13.435,15.955,5.0741,5.1548,5.6915,6.0476,11.326,8.6052,20.023,5.677,19.074,20.577,91.393,84.4,73.346,82.004,1.1624,3.8586,4.0753,5.6008,4.5576,0.91718,0.77177,5.6471,0.83576,4.57,1.1129,1.264,0.79415,0.84415,0.80824,0.85432,0.85531,0.79575,0.80824,0.79425,4.9099,4.6411
321,0.0020571,43.134,36.688,102.33,154,0,33.105,41.493,326.16,244.98,223.77,206.7,177.24,135.46,214.04,133.9,133.61,103.76,112.92,123.12,111.92,77.432,101.26,113.75,121.1,107.71,132.33,135.21,127.61,132.53,124.86,122.62,121.26,304.07,265.05,7.0319,5.011,20.288,32.564,74.052,80.673,113.11,106.3,115.22,154.58,145.12,17.052,3.444,12.25,14.307,27.067,21.771,71.112,71.398,53.127,48.798,79.202,78.206,54.411,117.39,83.306,178.31,137.26,147.2,190.66,176.41,185.66,196.98,167.56,192.04,192.87,173.48,239.35,175.76,191.52,176.2,112.02,114.17,76.471,74.738,89.847,70.351,101.93,102.25,67.154,77.155,111.59,109.23,120.25,109.57,94.411,112.41,149.52,111.47,108.88,101.02,101.99,98.886,105.23,100.53,130.25,130.84,133.38,131.31,136.64,129.89,130.39,124.26,147.16,130.02,120.87,124.84,120.94,121.04,4.8021,18.01,7.03,11.06,16.442,9.388,5.9721,10.78,32.1,8.2852,21.185,29.374,96.189,44,158.51,116.09,105.69,28.225,15.942,30.655,21.532,153.57,151.9,184.06,163.87,204.78,192.48,183.93,199.22,191.68,210.09,204.04,267.37,234.36,126,140.94,130,132.19,111.44,130.1,123.19,91.644,101.99,150.29,110.33,117.14,109.47,104.9,131.88,131.62,129.35,127.99,127.7,115.2,120.03,119.38,117.3,98.175,8.2121,12.241,24.1,15.385,129.28,111.04,114.11,103.75,110.71,133.91,133.11,101.61,133.3,109.75,128.98,128.24,133.22,139.22,133.95,132.72,132.85,133.08,133.39,133.76,109.04,109.66
202.6,32.635,3.933,24.962,29.564,69.241,33.105,0,17.312,214.71,146.24,140.44,130.76,82.44,63,110.85,55.473,55.629,71.55,39.305,44.52,39.953,28.699,36.284,64.211,80.883,67.534,71.123,74.657,68.875,80.82,81.317,80.648,80.832,188.71,160.63,19.297,17.351,10.233,0.0026672,24.309,26.942,76.918,63.432,49.305,59.029,52.557,5.7356,16.139,12.534,27.697,6.1023,18.898,14.306,11.972,30.041,26.169,17.956,20.911,33.984,38.608,51.727,79.549,90.856,64.932,86.885,80.025,115.39,123.75,109.87,120.18,116.71,109.83,155.21,73.768,106.74,106.4,37.907,40.273,27.925,26.999,30.649,26.769,58.332,53.607,29.54,35.57,63.595,58.858,61.387,59.218,41.807,65.092,78.262,57.413,73.074,62.49,59.765,57.789,64.804,61.824,69.221,70.544,72.173,71.581,76.599,75.5,71.282,69.411,56.898,85.961,80.712,78.612,80.987,78.762,31.876,3.5494,10.111,7.6646,28.511,12.181,12.331,12.335,31.683,22.924,16.273,4.2897,26.568,37.938,62.053,66.709,40.325,4.9691,6.8221,4.4412,7.3307,90.035,83.427,89.582,74.363,133.64,127.18,122.43,129.23,123.97,131.5,129.66,152.71,121.36,49.377,55.045,52.905,53.772,60.961,70.198,79.478,59.143,60.489,82.662,65.331,70.406,65.247,64.615,70.317,70.266,69.512,69.096,76.858,63.047,81.339,38.713,78.218,64.3,12.494,6.4287,0.82859,3.8172,52.648,40.639,39.884,35.603,38.303,54.279,55.994,41.817,54.911,38.234,54.644,52.004,55.439,56.091,55.098,54.853,54.801,55.499,55.191,55.26,37.296,38.032
132.06,40.929,6.4417,1.4742,17.838,36.231,41.493,17.312,0,136.5,85.219,74.444,65.448,48.157,27.055,67.396,27.213,27.009,19.589,19.664,24.018,18.817,5.7495,14.158,19.274,25.798,18.801,26.227,27.773,24.278,28.338,26.683,26.005,25.81,121.2,97.169,14.657,17.708,4.0467,17.07,5.3259,7.2079,22.976,17.316,18.579,40.288,36.304,32.101,22.813,8.7606,11.172,3.516,3.8186,8.8755,11.606,1.7608,0.91316,10.768,8.2815,2.7851,22.992,10.042,49.66,32.607,33.01,56.392,48.176,53.953,60.105,46.598,57.421,56.965,48.373,84.219,50.007,54.947,48.456,19.697,20.048,5.5302,5.0939,10.186,3.8529,15.063,14.179,3.1397,5.6382,18.58,16.984,20.783,17.146,10.732,19.135,33.66,17.414,20.888,16.019,15.435,14.287,17.494,15.73,25.232,25.627,26.747,25.945,28.593,26.27,25.59,23.314,35.503,29.349,25.695,25.805,25.808,25.046,23.681,26.208,26.404,29.145,10.143,11.859,18.152,10.207,4.86,14.265,3.5838,4.575,15.593,5.0573,41.842,20.448,15.399,4.1256,8.0319,4.3049,4.4988,36.945,35.184,51.236,41.272,65.508,59.513,55.384,62.34,58.299,66.935,64.181,98.251,79.515,24.135,31.796,25.556,26.618,17.985,25.323,25.724,13.5,15.627,34.458,18.706,21.641,18.492,17.373,25.957,25.856,24.963,24.441,26.001,19.435,25.775,24.414,24.154,16.159,13.384,12.733,14.251,13.642,25.202,18.094,20.163,15.684,18.715,27.511,26.653,13.376,26.994,18.167,24.651,24.759,26.831,30.283,27.328,26.67,26.759,26.739,26.977,27.176,18.111,18.189
1.0435,324.63,161.83,144.62,88.209,41.004,326.16,214.71,136.5,0,6.5638,9.8057,14.201,33.985,45.267,19.764,52.507,52.249,67.822,71.456,65.913,70.022,90.437,74.468,54.859,54.349,61.213,43.106,41.376,45.796,44.028,50.859,52.68,54.155,1.6628,4.0597,237.43,251.46,187.49,214.81,97.01,90.833,60.495,61.085,58.671,58.701,64.939,284.28,270.87,214.11,209.92,177.21,179.5,118.64,128.16,116.18,122.64,109.56,101.61,115.14,75.213,81.638,38.664,44.299,44.166,36.001,36.748,20.261,16.85,29.194,18.303,17.476,25.304,7.4108,47.131,18.846,23.121,73.801,70.116,91.725,93.654,83.42,96.912,63.845,63.192,98.24,86.662,56.481,57.896,50.772,57.645,71.517,56.089,34.986,56.465,62.837,66.007,64.122,66.596,62.6,66.256,44.373,43.923,42.475,43.604,40.59,44.708,44.121,47.824,56.656,48.383,54.483,49.624,54.568,53.246,262.58,265.27,279.89,283.47,202.75,228.76,254.15,221.19,158.97,232.12,181.18,177.88,92.661,136.9,55.59,53.411,68.999,177.92,209.07,174.87,188.56,32.258,33.082,28.759,38.213,15.874,20.294,23.635,17.263,19.532,13.041,15.08,8.2119,19.574,58.901,55.969,54.979,54.334,56.325,44.34,51.527,75.004,64.326,33.799,57.94,53.424,58.691,62.866,43.422,43.559,44.799,45.567,46.624,53.694,55.738,76.453,56.742,70.019,235.32,230.17,219.03,229.46,55.166,68.76,70.804,75.687,72.57,54.109,51.719,68.298,53.095,72.418,52.775,55.8,52.41,53.343,53.005,53.041,53.136,52.309,52.753,52.748,73.907,72.751
